,,R2,R2,MAE,MAE,RMSE,RMSE,MAPE(%),MAPE(%)
,,mean,std,mean,std,mean,std,mean,std
train_ratio,qt_frac,,,,,,,,
0.05,0.0,0.8848523447431479,0.03369065230492478,0.04289516138048978,0.004574459067481386,0.017634448697032755,0.005303240869996894,8.942104428130136,1.0167600933990093
0.05,0.03,0.9448957351906838,0.008837830340680457,0.03621534627602376,0.0010338572174957274,0.007874332675326504,0.0013944144636741276,7.819167519684347,0.7205958303291823
0.05,0.05,0.9470794677003468,0.009094835145215913,0.03674830862270125,0.002187912201899967,0.007093644505059173,0.0011773295834921803,8.106790835651813,0.630952645573852
0.1,0.0,0.9173472640626823,0.027510662932969866,0.03477514541521383,0.002936447457945215,0.012732952810459497,0.0044457572348675384,6.8139678784761655,0.46450256672840123
0.1,0.05,0.9562553538376003,0.006375221031452294,0.029969702482178628,0.00134562040898454,0.00586550601755796,0.0008014503403840847,5.823589524810226,0.3419421556273756
0.1,0.1,0.9625835484438909,0.006040709497769465,0.02820115200230337,0.0006175386031315629,0.0043533274166901266,0.0007834857247261321,5.600626957536951,0.13861549721118552
0.15,0.0,0.9373402589350015,0.018148296593358444,0.03047876435082657,0.0020387888592497696,0.00954961545307276,0.0028649396084548676,5.750056884013439,0.2735711761346072
0.15,0.07,0.9660235563282166,0.005793735708821765,0.026100162619463962,0.00036320057848598426,0.004308587463846295,0.0007491795979211261,4.884588124119212,0.20394598967109492
0.15,0.15,0.9744029142727191,0.006379918251125001,0.02438296445088004,0.0005326900451031728,0.002440594631169634,0.0005866158007537305,4.72158684746354,0.07114622654249048
0.2,0.0,0.9492786135171437,0.007876338858433113,0.027937837947710875,0.0005736454771150262,0.007791708083774998,0.001064028374857122,5.196538993471638,0.3811821062511297
0.2,0.1,0.967380765589968,0.005803937715126043,0.02414740850026037,0.0005532683629074066,0.003851582737240479,0.0007221148520488601,4.362074326724136,0.062434276979383536
0.2,0.2,0.9806191440117555,0.0015894293903696579,0.021926916318384043,0.00041781170697496693,0.0015974271329615704,0.00012016389119399075,4.180283313100382,0.11286290084849063
0.25,0.0,0.9525406328683639,0.007827727039630888,0.027107650446532034,0.001342873027777359,0.0072778720566763115,0.0013785896379244365,4.9361855362534435,0.18092833478289938
0.25,0.12,0.9725291122939776,0.0029951378791559526,0.022439180889621175,0.00034950069996626375,0.002901078198041139,0.0003557900606855247,4.161169229817067,0.12252573173201302
0.25,0.25,0.9804698493097639,0.0026599450440086075,0.02069364775713987,0.0004043376309558418,0.0014632771009100384,0.00020306729223157837,3.904531070314255,0.04136828633515921
0.3,0.0,0.9527343522083471,0.006898390141322263,0.026162391433322864,0.0006634356358213452,0.007119392306278674,0.0009773225440679644,4.484459768233124,0.18470932207731716
0.3,0.15,0.9759151450465504,0.006297952507865348,0.021383838037547433,0.0003727555087036659,0.0023201152047767483,0.0005679891425691638,3.8830662335720776,0.08048907498080791
0.3,0.3,0.9839542031563566,0.0005568627254912222,0.019522351376556037,0.00033603384974481765,0.0011233542203867952,2.9040507448579044e-05,3.6849062598118594,0.06130334764897911
0.35,0.0,0.9578324954365934,0.003003885913662058,0.025692771247541844,0.00024071974177486852,0.0063334092725697445,0.00043142763691709834,4.476102499694447,0.13892158661021603
0.35,0.17,0.9803150493413619,0.0022385696585791696,0.020386955296222985,0.0002655708091906742,0.0017817742957175775,0.00021919724536633768,3.749964974386118,0.04882255680538116
0.35,0.35,0.9837853409534374,0.0008464944595017082,0.018957147700728143,0.00048184070785402435,0.0010667337075745491,5.116382537211906e-05,3.5415470490537926,0.09684262943011049
0.4,0.0,0.9603173410524326,0.0038532462644408293,0.02558037608433856,0.0008551584530632171,0.006114686773698452,0.0006748262632130506,4.299956347169804,0.14434827180624152
0.4,0.2,0.9833713695922126,0.00249361291545202,0.019405250815481084,0.0003541809864100978,0.0013774314523737664,0.00020818687504297088,3.550519252171111,0.05505000267318145
0.4,0.4,0.985684908707183,0.0007462828260917233,0.017946964877281528,0.0002860820607898137,0.0008733737936851433,5.1490566035322505e-05,3.3150388366337653,0.054309215887787206
0.45,0.0,0.9610271766291772,0.0028790967397809768,0.024983255494406095,0.0006130308678351399,0.005942796644825161,0.00040533223771005,4.225220546202567,0.0907413022279069
0.45,0.23,0.9843506367532223,0.0012837880389731861,0.018623018568815798,0.0001896855327608639,0.0011902097306217545,9.917470237275221e-05,3.4485692562092254,0.062123684808868616
0.45,0.45,0.9848330690448568,0.0011312675313039477,0.01763264609941857,0.00019643092583945793,0.000850707670551851,6.54321963896296e-05,3.2635364970522134,0.04259024351835738
0.5,0.0,0.9607670748536263,0.00795554023939039,0.024698221612063236,0.0005428877605869887,0.006064251162566993,0.0013806484508147678,4.122098035453608,0.24973214113165093
0.5,0.25,0.9849102368250285,0.002812088688708792,0.018374066995654352,0.0005217486003112629,0.0011350256548114258,0.000244126828312981,3.370152990172726,0.048874847364930286
0.5,0.5,0.9850363752438245,0.001660382666370239,0.017071310180976663,0.00020172508826757054,0.0007799854657088869,8.310883781094751e-05,3.1764844849291434,0.02463539497941989
0.55,0.0,0.9658671332284847,0.009465285569815756,0.02377881957672984,0.0015458704418957695,0.005344995671361134,0.0017407372663149623,4.02035110291467,0.0732653313501491
0.55,0.28,0.9857478538243487,0.0009666338363963539,0.01789017490606218,0.00022560810987232535,0.001033385747295934,5.4368858210888855e-05,3.289529233798821,0.03422069369663032
0.55,0.55,0.9848288843148397,0.002243644526785668,0.01672745438049028,0.0006061030888579493,0.0007423370756049043,0.00010594092504572137,3.1055886489140763,0.09077874756292667
0.6,0.0,0.9635844851616018,0.008824493722187165,0.023747663772963036,0.0011398596279607433,0.005534294149497405,0.0015326374662981486,4.0234362316182954,0.12223273346981058
0.6,0.3,0.9861952851739707,0.0009793749773140095,0.01772483170703281,0.0002412364557378808,0.0009711364151102783,8.012958521511044e-05,3.2723881098669976,0.04499826418303037
0.6,0.6,0.9852699115474683,0.0012604045315237611,0.01628750941308061,0.00027009805530064425,0.000672050232051449,5.319850579575669e-05,3.0302588699875086,0.059829790705890624
0.65,0.0,0.9545781686263759,0.0076178717579484774,0.024202935248464588,0.0009363317644910281,0.006988825007640423,0.001390474124365414,4.120615615137729,0.13414809624143692
0.65,0.33,0.9857619749356245,0.0038119580749071476,0.017273007223824913,0.0006741532806082322,0.0009717283121029078,0.0002583423536033783,3.157529726370782,0.08165345123652439
0.65,0.65,0.985463541273797,0.0014401625973912266,0.015852331296381646,0.00027638022714730884,0.0006189156256100453,5.888223205861986e-05,2.952098243000414,0.053894725262529496
0.7,0.0,0.9599524804751359,0.01507380061585323,0.02342994526532854,0.0014299616256223,0.006073612815399837,0.002359707068543583,3.9433912470288677,0.1987820287948948
0.7,0.35,0.9874105258791296,0.0010553064618158824,0.01689612249934886,0.0004249618988021001,0.0008288170909764879,7.693903275218019e-05,3.10760519624131,0.0676989322384463
0.7,0.7,0.9844873297182801,0.002291524895165728,0.015796607597140758,0.0004464872714978812,0.0006219790440136564,9.061760225507378e-05,2.927421362989633,0.07348743237543885
0.75,0.0,0.9647823348233538,0.013300296579181557,0.023245993718166658,0.0017624626102580574,0.0058178517815315346,0.0026623035301555904,3.764008268189501,0.22662062468989905
0.75,0.38,0.9872687415408258,0.0006544128759320027,0.01649643886691532,0.00039564080551645535,0.000788595324728387,3.016025306939666e-05,3.084535509035195,0.037635621021230636
0.75,0.75,0.9837335690997449,0.001699110631036721,0.01569152497215313,0.00042062458179893274,0.0006144031540332247,5.779806581761866e-05,2.922696186299914,0.08115677605733806
0.8,0.0,0.9604861898887613,0.018820249161341774,0.02369354624411632,0.0019311172258562313,0.006176912442968021,0.0030344427899792054,3.68993117095282,0.07901555227075972
0.8,0.4,0.9877509583281958,0.0011125192461467514,0.016464564166684428,0.000207750110290595,0.0007425249577484776,6.13873312309345e-05,3.0368548983074426,0.03996300309190833
0.8,0.8,0.9846425366643518,0.001199747748278964,0.015437561022000343,0.0003826500794267624,0.0005389869909743298,4.6552880980349446e-05,2.8670820298309563,0.07736748895447974
